CATEGORY,TYPE,NAME,REVISION,DESCRIPTION,NOTES,DESIGNATOR [str],VALUE [str],SYMBOL [str],FOOTPRINT [str],PACKAGE [str],HEIGHT [mm],VZENER [V],minVBR@IT [V],IT [A],VZTOL [%],VZDRIFT [mV/K],VFMAX [V],IFMAX [A],RTHJA [K/W],RTHJC [K/W],TJMIN [°C],TJMAX [°C],PMAX [W],SOLDER_TECHNOLOGY [str],IEC61709 [int],OTHERPROPERTIES [str],CREATED [str],VERIFIED [str],KICAD_VISIBILITY [str],MANUFACTURER,MPN,DATASHEET_LINK,DATASHEET_REVISION,SUBSTANCES,SUPPLIER1_NAME,SUPPLIER1_SKU,SUPPLIER1_STATUS,RELATEDPARTS
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_6.5V_EatonElectronicsDivision_SMF65A,0,TVS 6.5 V 0.01 A,,D,SMF6.5A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,6.5 V,7.22 V,0.01 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Eaton - Electronics Division,SMF6-5A,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-smfe-tvs-diode-power-esd-suppressor-data-sheet.pdf,2024-09-01,,DIGIKEY,283-SMF6-5ATR-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,,0,TVS 6.5 V 0.01 A,,D,,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,6.5 V,7.22 V,0.01 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),generic,D_TVS_SOD-123FL_7V_generic,0,generic TVS 7 V 0.01 A,,D,SMF7.0A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,7 V,7.78 V,0.01 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_7V_LittelfuseInc_SMF70A,0,TVS 7 V 0.01 A,,D,SMF7.0A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,7 V,7.78 V,0.01 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Littelfuse Inc.,SMF7.0A,https://www.littelfuse.com/assetdocs/tvs-diodes-smf-datasheet?assetguid=7eb8a5b6-bdd0-4561-8f19-0c3cc6f9b2af,2023-11-02,,DIGIKEY,F5751CT-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_7V_EatonElectronicsDivision_SMF70A,0,TVS 7 V 0.01 A,,D,SMF7.0A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,7 V,7.78 V,0.01 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Eaton - Electronics Division,SMF7-0A,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-smfe-tvs-diode-power-esd-suppressor-data-sheet.pdf,2024-09-01,,DIGIKEY,283-SMF7-0ATR-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,,0,TVS 7 V 0.01 A,,D,,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,7 V,7.78 V,0.01 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),generic,D_TVS_SOD-123FL_7.5V_generic,0,generic TVS 7.5 V 1 A,,D,SMF7.5A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,7.5 V,8.33 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_7.5V_LittelfuseInc_SMF75A,0,TVS 7.5 V 1 A,,D,SMF7.5A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,7.5 V,8.33 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Littelfuse Inc.,SMF7.5A,https://www.littelfuse.com/assetdocs/tvs-diodes-smf-datasheet?assetguid=7eb8a5b6-bdd0-4561-8f19-0c3cc6f9b2af,2023-11-02,,DIGIKEY,F5752CT-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_7.5V_EatonElectronicsDivision_SMF75A,0,TVS 7.5 V 1 A,,D,SMF7.5A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,7.5 V,8.33 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Eaton - Electronics Division,SMF7-5A,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-smfe-tvs-diode-power-esd-suppressor-data-sheet.pdf,2024-09-01,,DIGIKEY,283-SMF7-5ATR-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,,0,TVS 7.5 V 1 A,,D,,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,7.5 V,8.33 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),generic,D_TVS_SOD-123FL_8V_generic,0,generic TVS 8 V 1 A,,D,SMF8.0A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,8 V,8.89 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_8V_LittelfuseInc_SMF80A,0,TVS 8 V 1 A,,D,SMF8.0A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,8 V,8.89 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Littelfuse Inc.,SMF8.0A,https://www.littelfuse.com/assetdocs/tvs-diodes-smf-datasheet?assetguid=7eb8a5b6-bdd0-4561-8f19-0c3cc6f9b2af,2023-11-02,,DIGIKEY,F5753CT-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_8V_EatonElectronicsDivision_SMF80A,0,TVS 8 V 1 A,,D,SMF8.0A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,8 V,8.89 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Eaton - Electronics Division,SMF8-0A,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-smfe-tvs-diode-power-esd-suppressor-data-sheet.pdf,2024-09-01,,DIGIKEY,283-SMF8-0ATR-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,,0,TVS 8 V 1 A,,D,,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,8 V,8.89 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),generic,D_TVS_SOD-123FL_8.5V_generic,0,generic TVS 8.5 V 1 A,,D,SMF8.5A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,8.5 V,9.44 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_8.5V_LittelfuseInc_SMF85A,0,TVS 8.5 V 1 A,,D,SMF8.5A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,8.5 V,9.44 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Littelfuse Inc.,SMF8.5A,https://www.littelfuse.com/assetdocs/tvs-diodes-smf-datasheet?assetguid=7eb8a5b6-bdd0-4561-8f19-0c3cc6f9b2af,2023-11-02,,DIGIKEY,F5754CT-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_8.5V_EatonElectronicsDivision_SMF85A,0,TVS 8.5 V 1 A,,D,SMF8.5A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,8.5 V,9.44 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Eaton - Electronics Division,SMF8-5A,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-smfe-tvs-diode-power-esd-suppressor-data-sheet.pdf,2024-09-01,,DIGIKEY,283-SMF8-5ACT-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,,0,TVS 8.5 V 1 A,,D,,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,8.5 V,9.44 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),generic,D_TVS_SOD-123FL_9V_generic,0,generic TVS 9 V 1 A,,D,SMF9.0A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,9 V,10 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_9V_LittelfuseInc_SMF90A,0,TVS 9 V 1 A,,D,SMF9.0A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,9 V,10 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Littelfuse Inc.,SMF9.0A,https://www.littelfuse.com/assetdocs/tvs-diodes-smf-datasheet?assetguid=7eb8a5b6-bdd0-4561-8f19-0c3cc6f9b2af,2023-11-02,,DIGIKEY,F5755CT-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_9V_EatonElectronicsDivision_SMF90A,0,TVS 9 V 1 A,,D,SMF9.0A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,9 V,10 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Eaton - Electronics Division,SMF9-0A,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-smfe-tvs-diode-power-esd-suppressor-data-sheet.pdf,2024-09-01,,DIGIKEY,283-SMF9-0ACT-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,,0,TVS 9 V 1 A,,D,,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,9 V,10 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),generic,D_TVS_SOD-123FL_10V_generic,0,generic TVS 10 V 1 A,,D,SMF10A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,10 V,11.1 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_10V_LittelfuseInc_SMF10A,0,TVS 10 V 1 A,,D,SMF10A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,10 V,11.1 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Littelfuse Inc.,SMF10A,https://www.littelfuse.com/assetdocs/tvs-diodes-smf-datasheet?assetguid=7eb8a5b6-bdd0-4561-8f19-0c3cc6f9b2af,2023-11-02,,DIGIKEY,F5745CT-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_10V_EatonElectronicsDivision_SMF10A,0,TVS 10 V 1 A,,D,SMF10A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,10 V,11.1 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Eaton - Electronics Division,SMF10A,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-smfe-tvs-diode-power-esd-suppressor-data-sheet.pdf,2024-09-01,,DIGIKEY,283-SMF10ATR-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,,0,TVS 10 V 1 A,,D,,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,10 V,11.1 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),generic,D_TVS_SOD-123FL_11V_generic,0,generic TVS 11 V 1 A,,D,SMF11A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,11 V,12.2 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_11V_LittelfuseInc_SMF11A,0,TVS 11 V 1 A,,D,SMF11A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,11 V,12.2 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Littelfuse Inc.,SMF11A,https://www.littelfuse.com/assetdocs/tvs-diodes-smf-datasheet?assetguid=7eb8a5b6-bdd0-4561-8f19-0c3cc6f9b2af,2023-11-02,,DIGIKEY,F5746CT-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_11V_EatonElectronicsDivision_SMF11A,0,TVS 11 V SOD-123FL 1 A,,D,SMF11A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,11 V,12.2 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Eaton - Electronics Division,SMF11A,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-smfe-tvs-diode-power-esd-suppressor-data-sheet.pdf,2024-09-01,,DIGIKEY,283-SMF11ATR-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,,0,TVS 11 V SOD-123FL 1 A,,D,SMF11A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,11 V,12.2 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),generic,D_TVS_SOD-123FL_12V_generic,0,generic TVS 12 V SOD-123FL 1 A,,D,SMF12A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,12 V,13.3 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_12V_LittelfuseInc_SMF12A,0,TVS 12 V SOD-123FL 1 A,,D,SMF12A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,12 V,13.3 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Littelfuse Inc.,SMF12A,https://www.littelfuse.com/assetdocs/tvs-diodes-smf-datasheet?assetguid=7eb8a5b6-bdd0-4561-8f19-0c3cc6f9b2af,2023-11-02,,DIGIKEY,F5747CT-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_12V_EatonElectronicsDivision_SMF12A,0,TVS 12 V SOD-123FL 1 A,,D,SMF12A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,12 V,13.3 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Eaton - Electronics Division,SMF12A,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-smfe-tvs-diode-power-esd-suppressor-data-sheet.pdf,2024-09-01,,DIGIKEY,283-SMF12ATR-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,,0,TVS 12 V SOD-123FL 1 A,,D,SMF12A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,12 V,13.3 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),generic,D_TVS_SOD-123FL_13V_generic,0,generic TVS 13 V SOD-123FL 1 A,,D,SMF13A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,13 V,14.4 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_13V_LittelfuseInc_SMF13A,0,TVS 13 V SOD-123FL 1 A,,D,SMF13A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,13 V,14.4 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Littelfuse Inc.,SMF13A,https://www.littelfuse.com/assetdocs/tvs-diodes-smf-datasheet?assetguid=7eb8a5b6-bdd0-4561-8f19-0c3cc6f9b2af,2023-11-02,,DIGIKEY,F5815CT-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_13V_EatonElectronicsDivision_SMF13A,0,TVS 13 V SOD-123FL 1 A,,D,SMF13A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,13 V,14.4 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Eaton - Electronics Division,SMF13A,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-smfe-tvs-diode-power-esd-suppressor-data-sheet.pdf,2024-09-01,,DIGIKEY,283-SMF13ATR-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,,0,TVS 13 V SOD-123FL 1 A,,D,SMF13A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,13 V,14.4 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),generic,D_TVS_SOD-123FL_14V_generic,0,generic TVS 14 V SOD-123FL 1 A,,D,SMF14A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,14 V,15.6 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_14V_LittelfuseInc_SMF14A,0,TVS 14 V SOD-123FL 1 A,,D,SMF14A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,14 V,15.6 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Littelfuse Inc.,SMF14A,https://www.littelfuse.com/assetdocs/tvs-diodes-smf-datasheet?assetguid=7eb8a5b6-bdd0-4561-8f19-0c3cc6f9b2af,2023-11-02,,DIGIKEY,F5816CT-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_14V_EatonElectronicsDivision_SMF14A,0,TVS 14 V SOD-123FL 1 A,,D,SMF14A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,14 V,15.6 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Eaton - Electronics Division,SMF14A,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-smfe-tvs-diode-power-esd-suppressor-data-sheet.pdf,2024-09-01,,DIGIKEY,283-SMF14ATR-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,,0,TVS 14 V SOD-123FL 1 A,,D,SMF14A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,14 V,15.6 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),generic,D_TVS_SOD-123FL_15V_generic,0,generic TVS 15 V SOD-123FL 1 A,,D,SMF15A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,15 V,16.7 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_15V_LittelfuseInc_SMF15A,0,TVS 15 V SOD-123FL 1 A,,D,SMF15A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,15 V,16.7 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Littelfuse Inc.,SMF15A,https://www.littelfuse.com/assetdocs/tvs-diodes-smf-datasheet?assetguid=7eb8a5b6-bdd0-4561-8f19-0c3cc6f9b2af,2023-11-02,,DIGIKEY,F5817CT-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_15V_EatonElectronicsDivision_SMF15A,0,TVS 15 V SOD-123FL 1 A,,D,SMF15A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,15 V,16.7 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Eaton - Electronics Division,SMF15A,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-smfe-tvs-diode-power-esd-suppressor-data-sheet.pdf,2024-09-01,,DIGIKEY,283-SMF15ATR-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,,0,TVS 15 V SOD-123FL 1 A,,D,SMF15A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,15 V,16.7 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),generic,D_TVS_SOD-123FL_16V_generic,0,generic TVS 16 V SOD-123FL 1 A,,D,SMF16A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,16 V,17.8 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_16V_LittelfuseInc_SMF16A,0,TVS 16 V SOD-123FL 1 A,,D,SMF16A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,16 V,17.8 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Littelfuse Inc.,SMF16A,https://www.littelfuse.com/assetdocs/tvs-diodes-smf-datasheet?assetguid=7eb8a5b6-bdd0-4561-8f19-0c3cc6f9b2af,2023-11-02,,DIGIKEY,F5818CT-ND,,
