CATEGORY,TYPE,NAME,REVISION,DESCRIPTION,NOTES,DESIGNATOR [str],VALUE [str],SYMBOL [str],FOOTPRINT [str],PACKAGE [str],HEIGHT [mm],RESISTANCE [Ω],TOLERANCE [%],DRIFT [ppm/K],TCORNER [°C],TMIN [°C],TMAX [°C],VMAX [V],IMAX [A],PMAX [W],SOLDER_TECHNOLOGY [str],IEC61709 [int],OTHERPROPERTIES [str],CREATED [str],VERIFIED [str],KICAD_VISIBILITY [str],MANUFACTURER,MPN,DATASHEET_LINK,DATASHEET_REVISION,SUBSTANCES,SUPPLIER1_NAME,SUPPLIER1_SKP,SUPPLIER1_STATUS,
Passive Component / Resistor / Metal thickfilm,generic,R_2512_510k0_F_100ppmK_generic,0,generic Resistor 2512 (6432 Metric) 510 kΩ 1 % 100 ppm/K,,R,510 kΩ,Device:R,Resistor_SMD:R_2512_6432Metric,2512,0.75 mm,510 kΩ,1 %,100 ppm/K,70 °C,-55 °C,155 °C,200 V,-,1 W,SMT,,,2025-08-06 BLU,,"PACKAGE, TOLERANCE",,,,,,,,,"R_2512_510k0_F_100ppmK_Yageo_RC2512FK-07510KL, R_2512_510k0_F_100ppmK_VishayDale_CRCW2512510KFKEG, R_2512_510k0_F_100ppmK_StackpoleElectronicsInc_RMCF2512FT510K"
Passive Component / Resistor / Metal thickfilm,specific,R_2512_510k0_F_100ppmK_Yageo_RC2512FK-07510KL,0,Resistor 2512 (6432 Metric) 510 kΩ 1 % 100 ppm/K,,R,510 kΩ,Device:R,Resistor_SMD:R_2512_6432Metric,2512,0.75 mm,510 kΩ,1 %,100 ppm/K,70 °C,-55 °C,155 °C,200 V,-,1 W,SMT,,,2025-08-06 BLU,,,Yageo,RC2512FK-07510KL,https://www.yageo.com/upload/media/product/products/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,Version 12 - 2022-08-02,RoHS3 2015/863,DIGIKEY,13-RC2512FK-07510KLCT-ND,ACTIVE,
Passive Component / Resistor / Metal thickfilm,specific,R_2512_510k0_F_100ppmK_VishayDale_CRCW2512510KFKEG,0,Resistor 2512 (6432 Metric) 510 kΩ 1 % 100 ppm/K,,R,510 kΩ,Device:R,Resistor_SMD:R_2512_6432Metric,2512,0.75 mm,510 kΩ,1 %,100 ppm/K,70 °C,-55 °C,155 °C,200 V,-,1 W,SMT,,,2025-08-06 BLU,,,Vishay Dale,CRCW2512510KFKEG,https://www.vishay.com/docs/20035/dcrcwe3.pdf,2025-06-02,RoHS3 2015/863,DIGIKEY,CRCW2512510KFKEG-ND,ACTIVE,
Passive Component / Resistor / Metal thickfilm,specific,R_2512_510k0_F_100ppmK_StackpoleElectronicsInc_RMCF2512FT510K,0,Resistor 2512 (6432 Metric) 510 kΩ 1 % 100 ppm/K,,R,510 kΩ,Device:R,Resistor_SMD:R_2512_6432Metric,2512,0.75 mm,510 kΩ,1 %,100 ppm/K,70 °C,-55 °C,155 °C,200 V,-,1 W,SMT,,,2025-08-06 BLU,,,Stackpole Electronics Inc.,RMCF2512FT510K,https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf,2025-05-01,RoHS3 2015/863,DIGIKEY,RMCF2512FT510K-ND,ACTIVE,
Passive Component / Resistor / Metal thickfilm,generic,R_2512_560k0_F_100ppmK_generic,0,generic Resistor 2512 (6432 Metric) 560 kΩ 1 % 100 ppm/K,,R,560 kΩ,Device:R,Resistor_SMD:R_2512_6432Metric,2512,0.75 mm,560 kΩ,1 %,100 ppm/K,70 °C,-55 °C,155 °C,200 V,-,1 W,SMT,,,2025-08-06 BLU,,"PACKAGE, TOLERANCE",,,,,,,,,"R_2512_560k0_F_100ppmK_Yageo_RC2512FK-07560KL, R_2512_560k0_F_100ppmK_VishayDale_CRCW2512560KFKEG, R_2512_560k0_F_100ppmK_StackpoleElectronicsInc_RMCF2512FT560K"
Passive Component / Resistor / Metal thickfilm,specific,R_2512_560k0_F_100ppmK_Yageo_RC2512FK-07560KL,0,Resistor 2512 (6432 Metric) 560 kΩ 1 % 100 ppm/K,,R,560 kΩ,Device:R,Resistor_SMD:R_2512_6432Metric,2512,0.75 mm,560 kΩ,1 %,100 ppm/K,70 °C,-55 °C,155 °C,200 V,-,1 W,SMT,,,2025-08-06 BLU,,,Yageo,RC2512FK-07560KL,https://www.yageo.com/upload/media/product/products/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,Version 12 - 2022-08-02,RoHS3 2015/863,DIGIKEY,13-RC2512FK-07560KLCT-ND,ACTIVE,
Passive Component / Resistor / Metal thickfilm,specific,R_2512_560k0_F_100ppmK_VishayDale_CRCW2512560KFKEG,0,Resistor 2512 (6432 Metric) 560 kΩ 1 % 100 ppm/K,,R,560 kΩ,Device:R,Resistor_SMD:R_2512_6432Metric,2512,0.75 mm,560 kΩ,1 %,100 ppm/K,70 °C,-55 °C,155 °C,200 V,-,1 W,SMT,,,2025-08-06 BLU,,,Vishay Dale,CRCW2512560KFKEG,https://www.vishay.com/docs/20035/dcrcwe3.pdf,2025-06-02,RoHS3 2015/863,DIGIKEY,CRCW2512560KFKEG-ND,ACTIVE,
Passive Component / Resistor / Metal thickfilm,specific,R_2512_560k0_F_100ppmK_StackpoleElectronicsInc_RMCF2512FT560K,0,Resistor 2512 (6432 Metric) 560 kΩ 1 % 100 ppm/K,,R,560 kΩ,Device:R,Resistor_SMD:R_2512_6432Metric,2512,0.75 mm,560 kΩ,1 %,100 ppm/K,70 °C,-55 °C,155 °C,200 V,-,1 W,SMT,,,2025-08-06 BLU,,,Stackpole Electronics Inc.,RMCF2512FT560K,https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf,2025-05-01,RoHS3 2015/863,DIGIKEY,RMCF2512FT560K-ND,ACTIVE,
Passive Component / Resistor / Metal thickfilm,generic,R_2512_620k0_F_100ppmK_generic,0,generic Resistor 2512 (6432 Metric) 620 kΩ 1 % 100 ppm/K,,R,620 kΩ,Device:R,Resistor_SMD:R_2512_6432Metric,2512,0.75 mm,620 kΩ,1 %,100 ppm/K,70 °C,-55 °C,155 °C,200 V,-,1 W,SMT,,,2025-08-06 BLU,,"PACKAGE, TOLERANCE",,,,,,,,,"R_2512_620k0_F_100ppmK_Yageo_RC2512FK-07620KL, R_2512_620k0_F_100ppmK_VishayDale_CRCW2512620KFKEG, R_2512_620k0_F_100ppmK_StackpoleElectronicsInc_RMCF2512FT620K"
Passive Component / Resistor / Metal thickfilm,specific,R_2512_620k0_F_100ppmK_Yageo_RC2512FK-07620KL,0,Resistor 2512 (6432 Metric) 620 kΩ 1 % 100 ppm/K,,R,620 kΩ,Device:R,Resistor_SMD:R_2512_6432Metric,2512,0.75 mm,620 kΩ,1 %,100 ppm/K,70 °C,-55 °C,155 °C,200 V,-,1 W,SMT,,,2025-08-06 BLU,,,Yageo,RC2512FK-07620KL,https://www.yageo.com/upload/media/product/products/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,Version 12 - 2022-08-02,RoHS3 2015/863,DIGIKEY,RC2512FK-07620KL-ND,ACTIVE,
